1 & 81.3251 & 0 & 0 \\ \hline 
2 & 93.8447 & 0 & 0 \\ \hline 
3 & 89.258 & 0 & 0 \\ \hline 
4 & 0 & 0 & 0 \\ \hline 
5 & 112.714 & -0.0116148 & 0.000140092 \\ \hline 
6 & 108.147 & -0.00753567 & 8.66376e-09 \\ \hline 
7 & 104.461 & -0.00518872 & 2.50789e-06 \\ \hline 
8 & 45.7132 & -0.0283992 & 67.1725 \\ \hline 
9 & 99.9987 & -0.00409683 & 0.654341 \\ \hline 
10 & 103.367 & -0.00490372 & 2.64129e-07 \\ \hline 
11 & 101.999 & -0.00448106 & 8.5592e-06 \\ \hline 
12 & 101.161 & -0.00434226 & 5.51421e-06 \\ \hline 
13 & 89.4121 & -0.00480225 & 12.9398 \\ \hline 
14 & 98.3878 & -0.00325741 & 0.624151 \\ \hline 
15 & 72.3921 & -0.00538143 & 27.9022 \\ \hline 
16 & 98.7883 & -0.00352409 & 6.08974e-08 \\ \hline 
17 & 99.6729 & -0.00356374 & 3.38963e-07 \\ \hline 
18 & 100.02 & -0.0036647 & 1.82501e-07 \\ \hline 
19 & 101.396 & -0.00337965 & 3.62534e-08 \\ \hline 
20 & 89.5551 & -0.00406814 & 10.8602 \\ \hline 
21 & 100.24 & -0.00320595 & 3.83976e-07 \\ \hline 
22 & 79.997 & -0.00447596 & 21.0638 \\ \hline 
23 & 79.5925 & -0.00469138 & 21.4686 \\ \hline 
24 & 84.2625 & -0.00430666 & 16.033 \\ \hline 
25 & 87.2411 & -0.00406931 & 12.8588 \\ \hline 
26 & 99.4143 & -0.00322608 & 2.38418e-06 \\ \hline 
27 & 99.0414 & -0.00328074 & 2.68513e-08 \\ \hline 
28 & 90.6274 & -0.00369328 & 9.22529 \\ \hline 
29 & 90.2512 & -0.00396402 & 9.83799 \\ \hline 
30 & 81.0107 & -0.00490791 & 20.333 \\ \hline 
31 & 80.4556 & -0.00436419 & 18.046 \\ \hline 
32 & 95.7675 & -0.0036954 & 5.01714 \\ \hline 
33 & 86.3945 & -0.00415465 & 14.1529 \\ \hline 
34 & 81.9767 & -0.00475111 & 18.6153 \\ \hline 
35 & 86.444 & -0.00400936 & 13.1011 \\ \hline 
36 & 98.1088 & -0.00321114 & 1.63514 \\ \hline 
37 & 91.1958 & -0.00427169 & 8.74885 \\ \hline 
38 & 87.556 & -0.00374749 & 10.6152 \\ \hline 
39 & 84.6679 & -0.00480555 & 16.3922 \\ \hline 
40 & 86.1274 & -0.00410958 & 13.1448 \\ \hline 
41 & 79.803 & -0.00479862 & 21.4568 \\ \hline 
42 & 82.7876 & -0.00421391 & 17.9667 \\ \hline 
43 & 77.6727 & -0.00477563 & 24.3102 \\ \hline 
44 & 82.7088 & -0.00433188 & 17.2481 \\ \hline 
45 & 81.0337 & -0.00505961 & 20.0948 \\ \hline 
46 & 83.7595 & -0.00407532 & 14.8532 \\ \hline 
47 & 81.9191 & -0.00453048 & 18.6102 \\ \hline 
48 & 86.6122 & -0.00409001 & 14.6335 \\ \hline 
49 & 84.7559 & -0.00461439 & 16.8 \\ \hline 
50 & 84.9907 & -0.00415237 & 16.3736 \\ \hline 
51 & 82.6795 & -0.00486204 & 18.6174 \\ \hline 
52 & 85.7642 & -0.00455222 & 15.118 \\ \hline 
53 & 85.23 & -0.00445134 & 15.377 \\ \hline 
54 & 84.2234 & -0.00451731 & 17.081 \\ \hline 
55 & 83.6998 & -0.00428485 & 16.7591 \\ \hline 
56 & 84.6766 & -0.00440632 & 14.549 \\ \hline 
57 & 84.574 & -0.00386128 & 15.0527 \\ \hline 
58 & 86.9262 & -0.00392846 & 12.2401 \\ \hline 
59 & 82.764 & -0.00404404 & 15.0655 \\ \hline 
60 & 85.8456 & -0.00382857 & 12.7791 \\ \hline 
61 & 84.1674 & -0.00396819 & 15.3756 \\ \hline 
62 & 77.0637 & -0.00309805 & 8.36148 \\ \hline 
